Date,BoardNo,SpotPrice,FuturePrice
0,0,2814,-1
0,0,2841,-1
0,0,2820,-1
0,0,2861,-1
0,0,2867,-1
0,0,2884,-1
0,0,2888,-1
0,0,2914,-1
0,0,2921,-1
0,0,2937,-1
0,0,2938,-1
0,0,2948,-1
0,0,2939,-1
0,0,2946,-1
0,0,2965,-1
0,0,2992,-1
0,0,3053,-1
0,0,3141,-1
0,0,3062,-1
0,0,3072,-1
0,0,3106,-1
0,0,3092,-1
0,0,3031,-1
0,0,3043,-1
0,0,3062,-1
0,0,3060,-1
0,0,3023,-1
0,0,3039,-1
0,0,3071,-1
0,0,3111,-1
0,0,3148,-1
0,0,3152,-1
0,0,3152,-1
0,0,3131,-1
0,0,3124,-1
0,0,3062,-1
0,0,3069,-1
0,0,3070,-1
0,0,2995,-1
0,0,3020,-1
0,0,2994,-1
0,0,2937,-1
0,0,2953,-1
0,0,3006,-1
0,0,3027,-1
0,0,3016,-1
0,0,2985,-1
0,0,2981,-1
0,0,2977,-1
0,0,2989,-1
0,0,2978,-1
0,0,3030,-1
0,0,3053,-1
0,0,3073,-1
0,0,3100,-1
0,0,3108,-1
0,0,3111,-1
0,0,3149,-1
0,0,3165,-1
0,0,3197,-1
0,0,3238,-1
0,0,3227,-1
0,0,3225,-1
0,0,3220,-1
0,0,3241,-1
0,0,3290,-1
0,0,3311,-1
0,0,3297,-1
0,0,3320,-1
0,0,3321,-1
0,0,3320,-1
0,0,3345,-1
0,0,3345,-1
0,0,3361,-1
0,0,3011,-1
0,0,3125,-1
0,0,3198,-1
0,0,3155,-1
0,0,3132,-1
0,0,3012,-1
0,0,3047,-1
0,0,3072,-1
0,0,3040,-1
0,0,2998,-1
0,0,2852,-1
0,0,2824,-1
0,0,2901,-1
0,0,2894,-1
0,0,2891,-1
0,0,2907,-1
0,0,2934,-1
0,0,2983,-1
0,0,3034,-1
0,0,3043,-1
0,0,3069,-1
0,0,3042,-1
0,0,3012,-1
0,0,2991,-1
0,0,3003,-1
0,0,3003,-1
0,0,3003,-1
0,0,3004,-1
0,0,3081,-1
0,0,3140,-1
0,0,3176,-1
0,0,3212,-1
0,0,3197,-1
0,0,3241,-1
0,0,3333,-1
0,0,3357,-1
0,0,3361,-1
0,0,3337,-1
0,0,3312,-1
0,0,3250,-1
0,0,3301,-1
0,0,3308,-1
0,0,3311,-1
0,0,3290,-1
0,0,3308,-1
0,0,3315,-1
0,0,3295,-1
0,0,3309,-1
0,0,3358,-1
0,0,3354,-1
0,0,3349,-1
0,0,3365,-1
0,0,3364,-1
0,0,3320,-1
0,0,3327,-1
0,0,3289,-1
0,0,3287,-1
0,0,3302,-1
0,0,3299,-1
0,0,3300,-1
0,0,3340,-1
0,0,3346,-1
0,0,3352,-1
0,0,3343,-1
0,0,3326,-1
0,0,3330,-1
0,0,3372,-1
0,0,3343,-1
0,0,3324,-1
0,0,3324,-1
0,0,3342,-1
0,0,3277,-1
0,0,3237,-1
0,0,3262,-1
0,0,3299,-1
0,0,3299,-1
0,0,3238,-1
0,0,3255,-1
0,0,3201,-1
0,0,3153,-1
0,0,3108,-1
0,0,3085,-1
0,0,3146,-1
0,0,3177,-1
0,0,3135,-1
0,0,3132,-1
0,0,3143,-1
0,0,3178,-1
0,0,3206,-1
0,0,3207,-1
0,0,3251,-1
0,0,3264,-1
0,0,3242,-1
0,0,3183,-1
0,0,3139,-1
0,0,3144,-1
0,0,3138,-1
0,0,3122,-1
0,0,3177,-1
0,0,3165,-1
0,0,3247,-1
0,0,3241,-1
0,0,3246,-1
0,0,3296,-1
0,0,3342,-1
0,0,3335,-1
0,0,3342,-1
0,0,3320,-1
0,0,3353,-1
0,0,3377,-1
0,0,3408,-1
0,0,3405,-1
0,0,3403,-1
0,0,3415,-1
0,0,3476,-1
0,0,3502,-1
0,0,3492,-1
0,0,3542,-1
0,0,3582,-1
0,0,3583,-1
0,0,3607,-1
0,0,3638,-1
0,0,3587,-1
0,0,3620,-1
0,0,3643,-1
0,0,3636,-1
0,0,3595,-1
0,0,3612,-1
0,0,3629,-1
0,0,3666,-1
0,0,3675,-1
0,0,3705,-1
0,0,3682,-1
0,0,3731,-1
0,0,3703,-1
0,0,3610,-1
0,0,3639,-1
0,0,3600,-1
0,0,3609,-1
0,0,3600,-1
0,0,3587,-1
0,0,3572,-1
0,0,3547,-1
0,0,3579,-1
0,0,3580,-1
0,0,3536,-1
0,0,3533,-1
0,0,3578,-1
0,0,3632,-1
0,0,3677,-1
0,0,3653,-1
0,0,3640,-1
0,0,3654,-1
0,0,3680,-1
0,0,3641,-1
0,0,3600,-1
0,0,3589,-1
0,0,3517,-1
0,0,3513,-1
0,0,3470,-1
0,0,3443,-1
0,0,3419,-1
0,0,3462,-1
0,0,3460,-1
0,0,3407,-1
0,0,3325,-1
0,0,3281,-1
0,0,3208,-1
0,0,3197,-1
0,0,3156,-1
0,0,3254,-1
0,0,3258,-1
0,0,3286,-1
0,0,3315,-1
0,0,3315,-1
0,0,3285,-1
0,0,3312,-1
0,0,3228,-1
0,0,3273,-1
0,0,3340,-1
0,0,3357,-1
0,0,3340,-1
0,0,3345,-1
0,0,3323,-1
0,0,3329,-1
0,0,3335,-1
0,0,3370,-1
0,0,3367,-1
0,0,3350,-1
0,0,3383,-1
0,0,3412,-1
0,0,3417,-1
0,0,3420,-1
0,0,3411,-1
0,0,3453,-1
0,0,3505,-1
0,0,3545,-1
0,0,3571,-1
0,0,3591,-1
0,0,3606,-1
0,0,3581,-1
0,0,3622,-1
0,0,3642,-1
0,0,3658,-1
0,0,3647,-1
0,0,3652,-1
0,0,3660,-1
0,0,3649,-1
0,0,3644,-1
0,0,3655,-1
0,0,3674,-1
0,0,3635,-1
0,0,3647,-1
0,0,3695,-1
0,0,3705,-1
0,0,3730,-1
0,0,3722,-1
0,0,3652,-1
0,0,3674,-1
0,0,3706,-1
0,0,3709,-1
0,0,3691,-1
0,0,3658,-1
0,0,3689,-1
0,0,3694,-1
0,0,3689,-1
0,0,3673,-1
0,0,3623,-1
0,0,3559,-1
0,0,3525,-1
0,0,3577,-1
0,0,3587,-1
0,0,3562,-1
0,0,3533,-1
0,0,3509,-1
0,0,3455,-1
0,0,3522,-1
0,0,3584,-1
0,0,3608,-1
0,0,3604,-1
0,0,3574,-1
0,0,3561,-1
0,0,3523,-1
0,0,3499,-1
0,0,3496,-1
0,0,3503,-1
0,0,3486,-1
0,0,3427,-1
0,0,3375,-1
0,0,3358,-1
0,0,3393,-1
0,0,3364,-1
0,0,3291,-1
0,0,3297,-1
0,0,3277,-1
0,0,3227,-1
0,0,3155,-1
0,0,3229,-1
0,0,3302,-1
0,0,3293,-1
0,0,3306,-1
0,0,3317,-1
0,0,3294,-1
0,0,3360,-1
0,0,3368,-1
0,0,3392,-1
0,0,3383,-1
0,0,3363,-1
0,0,3331,-1
0,0,3349,-1
0,0,3347,-1
0,0,3337,-1
0,0,3335,-1
0,0,3309,-1
0,0,3291,-1
0,0,3346,-1
0,0,3356,-1
0,0,3351,-1
0,0,3278,-1
0,0,3363,-1
0,0,3395,-1
0,0,3449,-1
0,0,3402,-1
0,0,3375,-1
0,0,3338,-1
0,0,3357,-1
0,0,3353,-1
